# Onda Corporation
# Hydrophone Calibration Data
# 
Calibration_DATE	17-Nov-2015
# 
# Hydrophone description
HYD_MFG	ONDA
HYD_MODEL	HGL
HYD_APERTURE_NOM_UM	0200
HYD_SN	1765
HYD_POLARITY	Positive
# 
# External preamplifier description
AMP_MFG	NONE
AMP_MODEL	NONE
AMP_SN	NONE
AMP_GAIN_NOM_DB	NONE
AMP_BW_MHZ	NONE
AMP_OUTPUT_IMP_NOM_OHMS	NONE
# 
# Cable/adaptor between hydrophone and preamplifier
CA_BWT_HYD_AMP	NONE 
# 
# Environment
ELECTRICAL_LOAD	OpenCircuit
WATER_TEMP_DEGC	23.5
WATER_RESISTIVITY_MOHMS-CM	3.5
#
# Calibration data
# Freq(MHz) Sens(dB re. 1V/uPa) Sens(V/Pa) Sens(V^2cm^2/W) Cap(pF)
#
DATA_FIELDS	5
DATA_FIELD	FREQ_MHz
DATA_FIELD	SENS_DB
DATA_FIELD	SENS_VPERPA
DATA_FIELD	SENS_V2CM2PERW
DATA_FIELD	CAP_PF
# End of file header
HEADER_END	0
 5.500	 -266.10	  4.953E-008	3.680E-005	      9.519
 5.550	 -266.10	  4.954E-008	3.681E-005	      9.514
 5.600	 -266.10	  4.955E-008	3.683E-005	      9.508
 5.650	 -266.17	  4.915E-008	3.624E-005	      9.504
 5.700	 -266.22	  4.884E-008	3.578E-005	      9.499
 5.750	 -266.22	  4.888E-008	3.583E-005	      9.494
 5.800	 -266.15	  4.926E-008	3.640E-005	      9.489
 5.850	 -266.05	  4.984E-008	3.726E-005	      9.484
 5.900	 -265.96	  5.032E-008	3.799E-005	      9.480
 5.950	 -265.93	  5.051E-008	3.827E-005	      9.475
 6.000	 -265.99	  5.020E-008	3.781E-005	      9.470
 6.050	 -266.05	  4.985E-008	3.727E-005	      9.466
 6.100	 -265.98	  5.025E-008	3.788E-005	      9.461
 6.150	 -265.91	  5.063E-008	3.845E-005	      9.457
 6.200	 -265.81	  5.123E-008	3.937E-005	      9.453
 6.250	 -265.73	  5.170E-008	4.010E-005	      9.448
 6.300	 -265.74	  5.167E-008	4.004E-005	      9.444
 6.350	 -265.72	  5.177E-008	4.020E-005	      9.440
 6.400	 -265.69	  5.197E-008	4.051E-005	      9.435
 6.450	 -265.70	  5.189E-008	4.039E-005	      9.431
 6.500	 -265.74	  5.164E-008	4.000E-005	      9.427
 6.550	 -265.72	  5.177E-008	4.020E-005	      9.423
 6.600	 -265.69	  5.193E-008	4.045E-005	      9.419
 6.650	 -265.61	  5.241E-008	4.121E-005	      9.415
 6.700	 -265.55	  5.278E-008	4.179E-005	      9.411
 6.750	 -265.51	  5.302E-008	4.217E-005	      9.407
 6.800	 -265.51	  5.303E-008	4.218E-005	      9.403
 6.850	 -265.53	  5.293E-008	4.202E-005	      9.400
 6.900	 -265.56	  5.273E-008	4.171E-005	      9.396
 6.950	 -265.59	  5.256E-008	4.143E-005	      9.392
 7.000	 -265.60	  5.251E-008	4.136E-005	      9.388
 7.050	 -265.64	  5.227E-008	4.098E-005	      9.385
 7.100	 -265.68	  5.202E-008	4.060E-005	      9.381
 7.150	 -265.71	  5.184E-008	4.030E-005	      9.377
 7.200	 -265.72	  5.177E-008	4.020E-005	      9.374
 7.250	 -265.71	  5.184E-008	4.031E-005	      9.370
 7.300	 -265.68	  5.202E-008	4.058E-005	      9.367
 7.350	 -265.63	  5.232E-008	4.106E-005	      9.363
 7.400	 -265.51	  5.306E-008	4.223E-005	      9.360
 7.450	 -265.44	  5.343E-008	4.282E-005	      9.356
 7.500	 -265.38	  5.381E-008	4.343E-005	      9.353
 7.550	 -265.39	  5.375E-008	4.333E-005	      9.350
 7.600	 -265.43	  5.350E-008	4.293E-005	      9.346
 7.650	 -265.47	  5.329E-008	4.259E-005	      9.343
 7.700	 -265.49	  5.313E-008	4.234E-005	      9.340
 7.750	 -265.48	  5.324E-008	4.252E-005	      9.336
 7.800	 -265.42	  5.360E-008	4.310E-005	      9.333
 7.850	 -265.34	  5.409E-008	4.389E-005	      9.330
 7.900	 -265.30	  5.435E-008	4.432E-005	      9.327
