# Onda Corporation
# Hydrophone Preamplifier Calibration Data
#
FILE_NAME AG-A2010-20-060-1132_151117.txt
#
AMP_CAL_DATE 17-Nov-2015
AMP_MFG ONDA
AMP_MODEL AG-A2010
AMP_SN 1132
AMP_GAIN_NOM_DB 20
AMP_BW_NOM_MHZ 060
AMP_OUTPUT_IMP_NOM_OHMS 50
AMP_INPUT_CAP_NOM_PF 6.2 
AMP_INPUT_CAP_DATA_TYPE CALIBRATED
AMP_GAIN_UNCERT_DB 0.03
AMP_CAP_UNCERT_PCT 2.5
#
# Calibration Data
# Freq(MHz) Gain(dB) Phase(deg) Cap(pF)
#
DATA_FIELDS 4
DATA_FIELD FREQ_MHZ
DATA_FIELD GAIN_DB
DATA_FIELD PHASE_DEG
DATA_FIELD CAP_PF
#
# End of file header
HEADER_END 0
033.000 16.81 -98.05 6.41
034.000 16.71 -100.59 6.43
035.000 16.60 -103.04 6.44
036.000 16.53 -105.62 6.45
037.000 16.44 -108.15 6.46
038.000 16.36 -110.64 6.47
039.000 16.27 -113.10 6.49
040.000 16.18 -115.57 6.50
041.000 16.09 -118.08 6.51
042.000 16.00 -120.55 6.52
043.000 15.93 -123.06 6.54
044.000 15.85 -125.56 6.54
045.000 15.76 -128.06 6.56
046.000 15.69 -130.71 6.57
047.000 15.62 -133.09 6.58
048.000 15.53 -135.68 6.60
049.000 15.46 -138.21 6.61
050.000 15.38 -140.73 6.62
051.000 15.31 -143.22 6.62
052.000 15.22 -145.82 6.64
053.000 15.14 -148.33 6.65
054.000 15.07 -151.08 6.66
055.000 15.00 -153.59 6.67
056.000 14.91 -156.20 6.69
057.000 14.85 -158.77 6.69
058.000 14.75 -161.35 6.71
059.000 14.68 -164.08 6.72
060.000 14.59 -166.79 6.72
061.000 14.51 -169.45 6.73
062.000 14.43 -172.16 6.74
063.000 14.34 -174.94 6.75
064.000 14.23 -177.67 6.76
065.000 14.16 -180.39 6.77
066.000 14.05 -183.10 6.78
067.000 13.95 -186.00 6.78
068.000 13.84 -188.58 6.79
069.000 13.73 -191.50 6.80
070.000 13.62 -194.27 6.80
071.000 13.51 -197.06 6.81
072.000 13.37 -199.79 6.82
073.000 13.27 -202.65 6.84
074.000 13.13 -205.49 6.84
075.000 13.02 -208.23 6.85
076.000 12.88 -211.05 6.86
077.000 12.73 -213.80 6.87
